BatchID,NumProcesses,AvgPriority,AvgBurstTime,AvgArrivalTime,BestAlgo,AWT,ATAT,ART
827,10,3.7,19.4,120555.5,SRTF,42.8,62.2,40.9
828,10,5.6,24.8,120618.4,SRTF,46.3,71.1,27.2
829,10,5.7,14.3,120770.3,RR,6.6,20.9,1
830,10,4.1,14.4,121144.8,RR,2.4,16.8,0.2
831,10,3.9,16.5,121416,SRTF,11.8,28.3,5.1
832,10,3,19.1,121539,SRTF,19.7,38.8,12.3
833,10,3.9,21.5,121601.4,SRTF,32.3,53.8,27
834,10,4.4,22.5,121661.9,SRTF,19.4,41.9,5.3
835,10,5.2,9.3,121706,SRTF,8.6,17.9,7.8
836,10,3.7,24,121782,SRTF,33.9,57.9,33.3
837,10,5.4,15.1,121989.7,FCFS,2.5,17.6,2.5
838,10,5.6,15.1,122396.3,RR,2.6,17.7,0.2
839,10,4.3,11.2,122646.4,SRTF,3.7,14.9,2.3
840,10,4.1,13.7,122748.8,SRTF,12.2,25.9,10.3
841,10,4.5,11.5,122821,SRTF,11.3,22.8,5.3
842,10,4.8,25.3,122877,SRTF,36.3,61.6,27.7
843,10,3.9,14.4,122930.3,SRTF,16.8,31.2,6.2
844,10,4.6,12.3,122977.1,SRTF,13.7,26,12.7
845,10,4.4,14.1,123163.2,SJF,2.5,16.6,2.5
846,10,5.1,15.9,123543.2,RR,7.6,23.5,0.7
847,10,3.7,25.9,123792.4,SRTF,32.7,58.6,17.4
848,10,4.2,26.6,123928.6,RR,56.7,83.3,7.2
849,10,3.9,21.1,124031.2,SRTF,31.8,52.9,29.2
850,10,5,32.3,124079.9,RR,134.1,166.4,12.9
851,10,5.3,16.8,124129.5,SRTF,30.7,47.5,26.9
852,10,4.8,15.1,124191,SRTF,17.6,32.7,16.6
853,10,5.8,14.5,124492.8,FCFS,5.3,19.8,5.3
854,10,3.9,15.7,124833.3,FCFS,1.3,17,1.3
855,10,4.5,22.3,125081.4,SRTF,25.6,47.9,24.4
856,10,4.2,28.9,125229.7,SRTF,51.4,80.3,51
857,10,5.5,26.9,125317.7,SRTF,36.1,63,35.7
858,10,5.5,16.9,125372.4,SRTF,27.9,44.8,19.5
859,10,4.8,14.2,125439,SRTF,16.7,30.9,10.3
860,10,4.5,11,125504.9,SRTF,11.8,22.8,10.8
861,10,4.2,14.7,125698.3,FCFS,1.6,16.3,1.6
862,10,3.9,14.7,125960.4,SRTF,2.1,16.8,0.9
863,10,5.5,24.1,126207.3,SRTF,9.7,33.8,8.5
864,10,4.1,8.5,126374.2,SRTF,1.2,9.7,0.7
865,10,3.7,32.7,126476.4,SRTF,44.1,76.8,24.8
866,10,4.1,19.9,126514.7,SRTF,30,49.9,29.7
867,10,3.7,23.6,126576,SRTF,31,54.6,18.8
868,10,4.4,22.6,126655.7,SRTF,30.2,52.8,2.5
869,10,4.2,15.9,126791.3,RR,12.1,28,1.8
870,10,5.4,15.2,127072.4,FCFS,1.9,17.1,1.9
871,10,4.6,15.7,127293.9,RR,18.8,34.5,2.1
872,10,3.8,20.9,127431,SRTF,20.7,41.6,18.7
873,10,4.4,32.9,127498.2,SRTF,52.1,85,49.9
874,10,3.4,12.1,127547.3,SRTF,19.3,31.4,16.9
875,10,3.9,25.2,127583.5,SRTF,41.7,66.9,40.7
876,10,4.8,22.5,127624.9,SRTF,40.2,62.7,38.2
877,10,5.5,14.6,127832.7,SRTF,8.2,22.8,3
878,10,4.5,14.4,128305.9,FCFS,1.7,16.1,1.7
879,10,4,20.9,128723.5,SRTF,8.7,29.6,7.9
880,10,6.5,15.3,128921.3,SRTF,7.7,23,5.5
881,10,5.2,17,129040,SRTF,15.7,32.7,9.7
882,10,4.6,11.9,129093.9,SJF,13.2,25.1,13.2
883,10,4.5,21.6,129131.5,SJF,36,57.6,36
884,10,3.9,19.4,129157.2,SRTF,27.5,46.9,26.3
885,10,4.4,14.6,129364.4,RR,2.4,17,0.2
886,10,4.1,15.2,129585.3,FCFS,5.6,20.8,5.6
887,10,5.4,4.9,129732.4,SRTF,1.1,6,0.9
888,10,5,19.8,129880.9,SRTF,3.5,23.3,2
889,10,4.2,24.3,129990,RR,72.1,96.4,11.8
890,10,4.8,28.2,130040.5,RR,172.6,200.8,13.6
891,10,4.5,17.8,130072.1,SRTF,25.3,43.1,24.7
892,10,4.4,15.2,130120.3,FCFS,47.6,62.8,47.6
893,10,4.8,15.5,130229.4,FCFS,24.8,40.3,24.8
894,10,4.7,14.9,130351.1,FCFS,14.5,29.4,14.5
